source_key,content_hash,bytes
e58e4553ee6e5e10,3dde229bdf27f0d7df8bd9b8b54a8fd8,3227
510d4349b3fcf044,2ffb4e609a64e0646cc45f749c4adaaf,3352
7273bf3e6deefffc,f9ef7038b36303a1d1cc7404f763aabe,17819
1642ea7f6d9b259d,e646203fc358f26504eaeab746acee5c,2048
1388839705b5638b,2f4b0f8b7e2ca900da57aca23f8f6361,2047
e2d0a4ee4f680307,d6f959bb34a789faa65775a4aa846512,1098
7e85121facc61a8e,32777f77d5b9d6728ae53554f44c59aa,2642
240798409cdfa6a1,57c59e493476f597ea440591333e90d1,1041
4fc2e8fcb00758d9,b5901d89b46e249a0fb1ea2eec10600b,5583
7b906e1da9838b2e,fc0ca323add0f1510244c7259af744b4,749
6d1deaab02f33caa,f70910b3fec76ef23c6213cbbd0ae583,7484
e3cd495ea6fd8113,023cc83203589adc562aa161302d8d75,500000
cc47392282a6095b,1ce702eb767dc14131e84807f68b7673,1065
ca99e1d5ed5cfab7,d831b265213fbdc89aa2291904f52c5f,3836
d6002a55edb73ebb,7d0dc7e02dfd793578277af373bb34e8,6783
f094a6f02c52f7dd,31aa2bdaa1bcae439aefc2726aeb30f7,830
4d3abda070b999d6,e0adb3216e8237cc649409d6896a024e,5889
5a9358a760e12eca,0c695b255aab935401b14183df3c6c57,9281
7588508ba4265e4e,0c5658b911df124f9db6683df131d407,6570
15fd52b7b2fcb093,49b0d8da3826d8b7b7a77360f04b9599,490
cc3aa875d8299a42,a658614beed702952fa9dd200aac42ca,579
1cae0c8502e27f3d,97659c02012dca03a70fe774a8f61337,1455
3ec95eb94ee1ec7e,95721ee75040a349138ecfbfc50c6dbe,866
9401005f5d336aca,b37998374b7e423e6cc7652ac6fc625a,930
695b5785e3b0f41e,9046cfbaffeed777c29d062d8a7020cb,3809
0c58eac50eb744cb,eeb607f4d06c4a8a68d827048e8f52d9,1401
c272389f4afa49e4,517455d5cc0b063f16e635d157b3cdc8,408968
b9b0fcc262898fd1,56159e7cca2f578cf33fcadd09bede33,5799
4ebe809ffa952045,97b1e455c68fbf11ac234120ce03e527,598
19aecd34c7d0327d,c0a83198cec93bd03e97e5b120aed174,5906
1bb4e59f9492dd28,041625a9b7a8cecb3c3118339c0de4d1,1594
5deb7345b7396cfb,3a31a43452ef0c3de68a48ebbff23b94,1455
15a2676fd0298c67,ced4eb15d6a930668430301548684ce2,8271
194bdbe700bba62f,28c4e5a1d4561efe0d917404be1ae3d6,7716
145749540c545c99,0262197801f5f0d7e29de840d8f7be0c,624
36efc6385262b275,c8eac77ed919b74ffad550f2ae71dbac,5202
